id,query,intent_json
1429,dq ki best crime film,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Crime"", ""rating_type"": ""top rated""}"
1430,show me Marathi movies from 2020,"{""language"": ""Marathi"", ""year"": 2020}"
1431,is jawan available on Disney+ Hotstar,"{""title"": ""Jawan"", ""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability""}"
1432,amitabh 2023 movie,"{""actor"": ""Amitabh Bachchan"", ""year"": 2023}"
1433,movies like brahmastra,"{""similar_to"": ""Brahmastra""}"
1434,greek god ki films,"{""actor"": ""Hrithik Roshan""}"
1435,Amazon Prime t'wood,"{""platform"": ""Amazon Prime"", ""language"": ""Telugu""}"
1436,dunki with ranveer,"{""actor"": ""Ranveer Singh"", ""title"": ""Dunki""}"
1437,movies starring alia,"{""actor"": ""Alia Bhatt""}"
1438,Netflix movies,"{""platform"": ""Netflix""}"
1439,rk crime movie,"{""actor"": ""Ranbir Kapoor"", ""genre"": ""Crime""}"
1440,mohanlal new film,"{""actor"": ""Mohanlal"", ""recency"": ""latest""}"
1441,is jawan available on Netflix,"{""title"": ""Jawan"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
1442,kamal superhit movies,"{""actor"": ""Kamal Haasan"", ""rating_type"": ""hit""}"
1443,is bramayugam available on ZEE5,"{""title"": ""Bramayugam"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
1444,jawan film,"{""title"": ""Jawan""}"
1445,best rebel star prabhas movies,"{""actor"": ""Prabhas"", ""rating_type"": ""top rated""}"
1446,article 15 ka rating kya hai,"{""title"": ""Article 15"", ""query_type"": ""rating/review""}"
1447,best vicky kaushal movies,"{""actor"": ""Vicky Kaushal"", ""rating_type"": ""top rated""}"
1448,bangla horror web series,"{""language"": ""Bengali"", ""genre"": ""Horror"", ""content_type"": ""Web Series""}"
1449,koi acchi binge worthy batao,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated"", ""query_type"": ""rating/review""}"
1450,movies like pushpa,"{""similar_to"": ""Pushpa""}"
1451,piggy chops all movies list,"{""actor"": ""Priyanka Chopra""}"
1452,gehraiyaan film,"{""title"": ""Gehraiyaan""}"
1453,is bhool bhulaiyaa worth watching,"{""title"": ""Bhool Bhulaiyaa"", ""query_type"": ""rating/review""}"
1454,new punjabi family,"{""language"": ""Punjabi"", ""genre"": ""Family"", ""recency"": ""latest""}"
1455,the family man with mammukka,"{""title"": ""The Family Man"", ""actor"": ""mammootty""}"
1456,movies like skanda,"{""similar_to"": ""Skanda""}"
1457,bachchan sahab ki films,"{""actor"": ""Amitabh Bachchan""}"
1458,gujarati sports,"{""language"": ""Gujarati"", ""genre"": ""Sports""}"
1459,12th fail jesi film suggest karo,"{""similar_to"": ""12th Fail""}"
1460,mani ratnam directed movies,"{""director"": ""Mani Ratnam""}"
1461,what are good action films on ZEE5,"{""genre"": ""Action"", ""platform"": ""ZEE5"", ""rating_type"": ""top rated""}"
1462,ranbir ka jailer,"{""actor"": ""Ranbir Kapoor"", ""title"": ""Jailer""}"
1463,koi inspirational movie suggest karo,"{""mood"": ""inspirational""}"
1464,allu arjun new movie mirzapur,"{""actor"": ""Allu Arjun"", ""title"": ""Mirzapur"", ""recency"": ""latest""}"
1465,is kartik calling kartik worth watching,"{""title"": ""Kartik Calling Kartik"", ""query_type"": ""rating/review""}"
1466,overrated hindi action film,"{""language"": ""Hindi"", ""genre"": ""Action"", ""rating_type"": ""overrated""}"
1467,best of vishal bhardwaj,"{""director"": ""Vishal Bhardwaj"", ""rating_type"": ""top rated""}"
1468,pk jaisi movie,"{""similar_to"": ""PK""}"
1469,romantic wali movie,"{""mood"": ""romantic""}"
1470,haseen dillruba ke jaise aur koi hai kya,"{""similar_to"": ""Haseen Dillruba""}"
1471,rocky aur rani review,"{""title"": ""Rocky Aur Rani"", ""query_type"": ""rating/review""}"
1472,akshay ki best drama film,"{""actor"": ""Akshay Kumar"", ""genre"": ""Drama"", ""rating_type"": ""top rated""}"
1473,dunki ke jaise aur koi hai kya,"{""similar_to"": ""Dunki""}"
1474,best dark comedy movies of 2019,"{""genre"": ""Dark comedy"", ""year"": 2019, ""rating_type"": ""top rated""}"
1475,2020 films,"{""year"": 2020}"
1476,nawaz wali movie,"{""actor"": ""Nawazuddin Siddiqui""}"
1477,irfan khan ka bard of blood,"{""actor"": ""Irrfan Khan"", ""title"": ""Bard of Blood""}"
1478,big b 2019 movie,"{""actor"": ""Amitabh Bachchan"", ""year"": 2019}"
1479,marathi mystery movies,"{""language"": ""Marathi"", ""genre"": ""Mystery""}"
1480,what are good dark comedy films on Disney+ Hotstar,"{""genre"": ""Dark comedy"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}"
1481,show me Marathi movies from 2022,"{""language"": ""Marathi"", ""year"": 2022}"
1482,top rated Tamil action,"{""language"": ""Tamil"", ""genre"": ""Action"", ""rating_type"": ""top rated""}"
1483,phone bhoot kahan dekhein,"{""title"": ""Phone Bhoot"", ""query_type"": ""availability""}"
1484,how is kushi,"{""title"": ""Kushi"", ""query_type"": ""rating/review""}"
1485,manjummel boys available hai kya OTT pe,"{""title"": ""Manjummel Boys"", ""query_type"": ""availability""}"
1486,top sandalwood psychological thriller movies,"{""language"": ""Kannada"", ""genre"": ""Psychological thriller"", ""rating_type"": ""top rated""}"
1487,nawazuddin ki best historical film,"{""actor"": ""Nawazuddin Siddiqui"", ""genre"": ""Historical"", ""rating_type"": ""top rated""}"
1488,is kushi available on Netflix,"{""title"": ""Kushi"", ""platform"": ""Netflix"", ""query_type"": ""availability""}"
1489,top rated Hindi supernatural,"{""language"": ""Hindi"", ""genre"": ""Supernatural"", ""rating_type"": ""top rated""}"
1490,what are good drama films on Disney+ Hotstar,"{""genre"": ""Drama"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}"
1491,show me Tamil movies from 2024,"{""language"": ""Tamil"", ""year"": 2024}"
1492,best supernatural movies of 2024,"{""genre"": ""Supernatural"", ""year"": 2024, ""rating_type"": ""top rated""}"
1493,best action movies of 2023,"{""genre"": ""Action"", ""year"": 2023, ""rating_type"": ""top rated""}"
1494,what are good comedy films on Disney+ Hotstar,"{""genre"": ""Comedy"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}"
1495,ranveer singh 2023 movie,"{""actor"": ""Ranveer Singh"", ""year"": 2023}"
1496,is bhool bhulaiyaa available on SonyLIV,"{""title"": ""Bhool Bhulaiyaa"", ""platform"": ""SonyLIV"", ""query_type"": ""availability""}"
1497,jalsa,"{""title"": ""Jalsa""}"
1498,freddy jesi film suggest karo,"{""similar_to"": ""Freddy""}"
1499,best supernatural movies of 2021,"{""genre"": ""Supernatural"", ""year"": 2021, ""rating_type"": ""top rated""}"
1500,top kannada psychological thriller movies,"{""language"": ""Kannada"", ""genre"": ""Psychological thriller"", ""rating_type"": ""top rated""}"
1501,thappad,"{""title"": ""Thappad""}"
1502,2021 films,"{""year"": 2021}"
1503,marathi happy movie,"{""mood"": ""happy"", ""language"": ""Marathi""}"
1504,top rated Kannada sports,"{""language"": ""Kannada"", ""genre"": ""Sports"", ""rating_type"": ""top rated""}"
1505,vijay deverakonda superhit movies,"{""actor"": ""Vijay Deverakonda"", ""rating_type"": ""hit""}"
1506,best romance movies of 2018,"{""genre"": ""Romance"", ""year"": 2018, ""rating_type"": ""top rated""}"
1507,rajamouli ki best movie kaun si hai,"{""director"": ""SS Rajamouli"", ""rating_type"": ""top rated""}"
1508,new tamil mein action,"{""language"": ""Tamil"", ""genre"": ""Action"", ""recency"": ""latest""}"
1509,feeling intense movie,"{""mood"": ""intense""}"
1510,allu arjun new movie rocky aur rani,"{""actor"": ""Allu Arjun"", ""title"": ""Rocky Aur Rani"", ""recency"": ""latest""}"
1511,top rated Marathi sci-fi,"{""language"": ""Marathi"", ""genre"": ""Sci-Fi"", ""rating_type"": ""top rated""}"
1512,irfan khan ki best movie,"{""actor"": ""Irrfan Khan"", ""rating_type"": ""top rated""}"
1513,scam 1992 kahan dekhein,"{""title"": ""Scam 1992"", ""query_type"": ""availability""}"
1514,is thappad available on ZEE5,"{""title"": ""Thappad"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
1515,is omg 2 available on SonyLIV,"{""title"": ""OMG 2"", ""platform"": ""SonyLIV"", ""query_type"": ""availability""}"
1516,deepika superhit movies,"{""actor"": ""Deepika Padukone"", ""rating_type"": ""hit""}"
1517,pagglait online,"{""title"": ""Pagglait""}"
1518,shershaah imdb rating,"{""title"": ""Shershaah"", ""query_type"": ""rating/review""}"
1519,2025 ki best film,"{""year"": 2025, ""rating_type"": ""top rated""}"
1520,top rated Bhojpuri thriller,"{""language"": ""Bhojpuri"", ""genre"": ""Thriller"", ""rating_type"": ""top rated""}"
1521,is omg 2 on Amazon Prime,"{""title"": ""OMG 2"", ""platform"": ""Amazon Prime""}"
1522,best telugu family,"{""language"": ""Telugu"", ""genre"": ""Family"", ""rating_type"": ""top rated""}"
1523,telugu lo inspirational movie,"{""mood"": ""inspirational"", ""language"": ""Telugu""}"
1524,show me Kannada movies from 2018,"{""language"": ""Kannada"", ""year"": 2018}"
1525,alia ki films,"{""actor"": ""Alia Bhatt""}"
1526,crime movies 2024,"{""year"": 2024, ""genre"": ""Crime""}"
1527,top rated Hindi romance,"{""language"": ""Hindi"", ""genre"": ""Romance"", ""rating_type"": ""top rated""}"
1528,is roohi good,"{""title"": ""Roohi"", ""rating_type"": ""top rated""}"
1529,bachchan sahab ki best movie,"{""actor"": ""Amitabh Bachchan"", ""rating_type"": ""top rated""}"
1530,is rocky aur rani worth watching,"{""title"": ""Rocky Aur Rani"", ""query_type"": ""rating/review""}"
1531,best of lokesh kanagaraj,"{""director"": ""Lokesh Kanagaraj"", ""rating_type"": ""top rated""}"
1532,shahrukh movies,"{""actor"": ""Shah Rukh Khan""}"
1533,mollywood biopic 2019,"{""language"": ""Malayalam"", ""genre"": ""Biopic"", ""year"": 2019}"
1534,is omg 2 good,"{""title"": ""OMG 2"", ""rating_type"": ""top rated""}"
1535,drishyam 2 ke jaise aur koi hai kya,"{""similar_to"": ""Drishyam 2""}"
1536,top bhojpuri mystery movies,"{""language"": ""Bhojpuri"", ""genre"": ""Mystery"", ""rating_type"": ""top rated""}"
1537,best historical movies of 2025,"{""genre"": ""Historical"", ""year"": 2025, ""rating_type"": ""top rated""}"
1538,family family movies 2023,"{""genre"": ""Family"", ""year"": 2023, ""audience"": ""family""}"
1539,show me Bengali movies from 2019,"{""language"": ""Bengali"", ""year"": 2019}"
1540,koi intense movie suggest karo,"{""mood"": ""intense""}"
1541,best bengali show,"{""content_type"": ""Web Series"", ""language"": ""Bengali"", ""rating_type"": ""top rated""}"
1542,imtiaz ali 2025 movie,"{""director"": ""Imtiaz Ali"", ""year"": 2025}"
1543,is mirzapur worth watching,"{""title"": ""Mirzapur"", ""query_type"": ""rating/review""}"
1544,tearjerker gujarati film,"{""mood"": ""tearjerker"", ""language"": ""Gujarati""}"
1545,mammukka ke saare movies,"{""actor"": ""mammootty""}"
1546,good action packed movie,"{""mood"": ""action packed"", ""rating_type"": ""top rated""}"
1547,fahadh ki films,"{""actor"": ""Fahadh Faasil""}"
1548,is 12th fail good,"{""title"": ""12th Fail"", ""rating_type"": ""top rated""}"
1549,shah rukh drama movie,"{""actor"": ""Shah Rukh Khan"", ""genre"": ""Drama""}"
1550,how is raees,"{""title"": ""Raees"", ""query_type"": ""rating/review""}"
1551,family comedy movies 2024,"{""genre"": ""Comedy"", ""year"": 2024, ""audience"": ""family""}"
1552,best of sanjay bhansali,"{""director"": ""Sanjay Leela Bhansali"", ""rating_type"": ""top rated""}"
1553,best k'wood romance,"{""language"": ""Tamil"", ""genre"": ""Romance"", ""rating_type"": ""top rated""}"
1554,koi romantic movie suggest karo,"{""mood"": ""romantic""}"
1555,top hindi mein sports movies,"{""language"": ""Hindi"", ""genre"": ""Sports"", ""rating_type"": ""top rated""}"
1556,best bollywood show,"{""content_type"": ""Web Series"", ""language"": ""Hindi"", ""rating_type"": ""top rated""}"
1557,is dilwale dulhania le jayenge available on Disney+ Hotstar,"{""title"": ""Dilwale Dulhania Le Jayenge"", ""platform"": ""Disney+ Hotstar"", ""query_type"": ""availability""}"
1558,movies like dangal,"{""similar_to"": ""Dangal""}"
1559,classic Malayalam movies,"{""language"": ""Malayalam"", ""rating_type"": ""classic""}"
1560,nawazuddin ki films,"{""actor"": ""Nawazuddin Siddiqui""}"
1561,salman all movies list,"{""actor"": ""Salman Khan""}"
1562,top hindi mein comedy movies,"{""language"": ""Hindi"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
1563,what are good thriller films on MX Player,"{""genre"": ""Thriller"", ""platform"": ""MX Player"", ""rating_type"": ""top rated""}"
1564,priyanka wali phone bhoot,"{""actor"": ""Priyanka Chopra"", ""title"": ""Phone Bhoot""}"
1565,tamil crime movies,"{""language"": ""Tamil"", ""genre"": ""Crime""}"
1566,how is badhaai ho,"{""title"": ""Badhaai Ho"", ""query_type"": ""rating/review""}"
1567,best historical movies of 2020,"{""genre"": ""Historical"", ""year"": 2020, ""rating_type"": ""top rated""}"
1568,ranveer new movie aspirants,"{""actor"": ""Ranveer Singh"", ""title"": ""Aspirants"", ""recency"": ""latest""}"
1569,classic 2018 films,"{""year"": 2018, ""rating_type"": ""classic""}"
1570,what are good biopic films on ZEE5,"{""genre"": ""Biopic"", ""platform"": ""ZEE5"", ""rating_type"": ""top rated""}"
1571,what are good romance films on Amazon Prime,"{""genre"": ""Romance"", ""platform"": ""Amazon Prime"", ""rating_type"": ""top rated""}"
1572,bhojpuri crime,"{""language"": ""Bhojpuri"", ""genre"": ""Crime""}"
1573,kgf review,"{""title"": ""KGF"", ""query_type"": ""rating/review""}"
1574,katrina new movie dobaaraa,"{""actor"": ""Katrina Kaif"", ""title"": ""Dobaaraa"", ""recency"": ""latest""}"
1575,kabir singh rating,"{""title"": ""Kabir Singh"", ""query_type"": ""rating/review""}"
1576,dunki ka rating kya hai,"{""title"": ""Dunki"", ""query_type"": ""rating/review""}"
1577,freddy imdb rating,"{""title"": ""Freddy"", ""query_type"": ""rating/review""}"
1578,shershaah kahan dekhein,"{""title"": ""Shershaah"", ""query_type"": ""availability""}"
1579,stylish star all movies list,"{""actor"": ""Allu Arjun""}"
1580,taapsee wali scam 1992,"{""actor"": ""Taapsee Pannu"", ""title"": ""Scam 1992""}"
1581,gujarati light hearted movie,"{""mood"": ""light hearted"", ""language"": ""Gujarati""}"
1582,family historical movies 2024,"{""genre"": ""Historical"", ""year"": 2024, ""audience"": ""family""}"
1583,bangla biopic,"{""language"": ""Bengali"", ""genre"": ""Biopic""}"
1584,vidya all movies list,"{""actor"": ""Vidya Balan""}"
1585,top rated Punjabi psychological thriller,"{""language"": ""Punjabi"", ""genre"": ""Psychological thriller"", ""rating_type"": ""top rated""}"
1586,sultan jesi film suggest karo,"{""similar_to"": ""Sultan""}"
1587,pathaan good hai ya nahi,"{""title"": ""Pathaan"", ""rating_type"": ""top rated""}"
1588,kangana film thappad,"{""actor"": ""Kangana Ranaut"", ""title"": ""Thappad""}"
1589,best psychological thriller movies of 2024,"{""genre"": ""Psychological thriller"", ""year"": 2024, ""rating_type"": ""top rated""}"
1590,ranveer singh ke saare movies,"{""actor"": ""Ranveer Singh""}"
1591,taapsee film premalu,"{""actor"": ""Taapsee Pannu"", ""title"": ""Premalu""}"
1592,movies by lokesh,"{""director"": ""Lokesh Kanagaraj""}"
1593,mard ko dard nahi hota type movie,"{""similar_to"": ""Mard Ko Dard Nahi Hota""}"
1594,karan johar all films,"{""director"": ""Karan Johar""}"
1595,beast with big b,"{""actor"": ""Amitabh Bachchan"", ""title"": ""Beast""}"
1596,mystery movies of dulquer,"{""actor"": ""Dulquer Salmaan"", ""genre"": ""Mystery""}"
1597,t'wood action movies,"{""genre"": ""Action"", ""language"": ""Telugu""}"
1598,brahmastra jaisi movie,"{""similar_to"": ""Brahmastra""}"
1599,show me Kannada movies from 2021,"{""language"": ""Kannada"", ""year"": 2021}"
1600,top rated Bhojpuri romance,"{""language"": ""Bhojpuri"", ""genre"": ""Romance"", ""rating_type"": ""top rated""}"
1601,drishyam,"{""title"": ""Drishyam""}"
1602,best hindi dark comedy,"{""language"": ""Hindi"", ""genre"": ""Dark comedy"", ""rating_type"": ""top rated""}"
1603,freddy rating,"{""title"": ""Freddy"", ""query_type"": ""rating/review""}"
1604,new marathi psychological thriller,"{""language"": ""Marathi"", ""genre"": ""Psychological thriller"", ""recency"": ""latest""}"
1605,vidya balan gehraiyaan movie,"{""actor"": ""Vidya Balan"", ""title"": ""Gehraiyaan""}"
1606,family horror movies 2024,"{""genre"": ""Horror"", ""year"": 2024, ""audience"": ""family""}"
1607,horror movies 2024,"{""year"": 2024, ""genre"": ""Horror""}"
1608,dream girl 2 ka rating kya hai,"{""title"": ""Dream Girl 2"", ""query_type"": ""rating/review""}"
1609,ranveer singh drama 2020,"{""actor"": ""Ranveer Singh"", ""genre"": ""Drama"", ""year"": 2020}"
1610,mollywood 2021,"{""year"": 2021, ""language"": ""Malayalam""}"
1611,ayushman kushi movie,"{""title"": ""Kushi"", ""actor"": ""Ayushmann Khurrana""}"
1612,koi acchi OTT show batao,"{""content_type"": ""Web Series"", ""rating_type"": ""top rated""}"
1613,manjummel boys imdb rating,"{""title"": ""Manjummel Boys"", ""query_type"": ""rating/review""}"
1614,bollywood horror web series,"{""language"": ""Hindi"", ""genre"": ""Horror"", ""content_type"": ""Web Series""}"
1615,skanda jesi film suggest karo,"{""similar_to"": ""Skanda""}"
1616,aspirants with lalettan,"{""actor"": ""Mohanlal"", ""title"": ""Aspirants""}"
1617,priyanka new movie scam 1992,"{""actor"": ""Priyanka Chopra"", ""title"": ""Scam 1992"", ""recency"": ""latest""}"
1618,bhai new film,"{""actor"": ""Salman Khan"", ""recency"": ""latest""}"
1619,arjun reddy wala new movie kartik calling kartik,"{""actor"": ""Vijay Deverakonda"", ""title"": ""Kartik Calling Kartik"", ""recency"": ""latest""}"
1620,movies like dilwale dulhania le jayenge,"{""similar_to"": ""Dilwale Dulhania Le Jayenge""}"
1621,ranveer singh comedy movie,"{""actor"": ""Ranveer Singh"", ""genre"": ""Comedy""}"
1622,dilwale dulhania le jayenge full movie,"{""title"": ""Dilwale Dulhania Le Jayenge""}"
1623,rocky aur rani,"{""title"": ""Rocky Aur Rani""}"
1624,kollywood supernatural,"{""language"": ""Tamil"", ""genre"": ""Supernatural""}"
1625,movies like beast,"{""similar_to"": ""Beast""}"
1626,romance movies of vidya balan,"{""actor"": ""Vidya Balan"", ""genre"": ""Romance""}"
1627,ranbir wali darlings,"{""actor"": ""Prabhas"", ""title"": ""Darlings""}"
1628,best drama movies of 2018,"{""genre"": ""Drama"", ""year"": 2018, ""rating_type"": ""top rated""}"
1629,recommend a dark comedy movie,"{""genre"": ""Dark comedy""}"
1630,best family movies of 2020,"{""genre"": ""Family"", ""year"": 2020, ""rating_type"": ""top rated""}"
1631,show me Hindi movies from 2023,"{""language"": ""Hindi"", ""year"": 2023}"
1632,gujarati sci-fi movies,"{""language"": ""Gujarati"", ""genre"": ""Sci-Fi""}"
1633,similar to thappad,"{""similar_to"": ""Thappad""}"
1634,an action hero film,"{""title"": ""An Action Hero""}"
1635,watch drishyam,"{""title"": ""Drishyam""}"
1636,rebel star prabhas ka pathaan,"{""actor"": ""Prabhas"", ""title"": ""Pathaan""}"
1637,top rated Bhojpuri sports,"{""language"": ""Bhojpuri"", ""genre"": ""Sports"", ""rating_type"": ""top rated""}"
1638,family comedy movies 2021,"{""genre"": ""Comedy"", ""year"": 2021, ""audience"": ""family""}"
1639,alia bhatt wali sardar udham,"{""actor"": ""Alia Bhatt"", ""title"": ""Sardar Udham""}"
1640,kareena bangla biopic,"{""actor"": ""Kareena Kapoor"", ""genre"": ""Biopic"", ""language"": ""Bengali""}"
1641,phone bhoot streaming kahan hai,"{""title"": ""Phone Bhoot"", ""query_type"": ""availability""}"
1642,ludo,"{""title"": ""Ludo""}"
1643,gadar 2 imdb rating,"{""title"": ""Gadar 2"", ""query_type"": ""rating/review""}"
1644,nawazuddin ke saare movies,"{""actor"": ""Nawazuddin Siddiqui""}"
1645,rajini ka 2025 wala,"{""actor"": ""Rajinikanth"", ""year"": 2025}"
1646,srk superhit movies,"{""actor"": ""Shah Rukh Khan"", ""rating_type"": ""hit""}"
1647,dark comedy OTT show,"{""content_type"": ""Web Series"", ""genre"": ""Dark comedy""}"
1648,family supernatural movies 2023,"{""genre"": ""Supernatural"", ""year"": 2023, ""audience"": ""family""}"
1649,best b'wood biopic,"{""genre"": ""Biopic"", ""rating_type"": ""top rated"", ""language"": ""Hindi""}"
1650,mani ratnam film kahan dekhein,"{""title"": ""Mani Ratnam film"", ""query_type"": ""availability""}"
1651,Disney+ Hotstar movies,"{""platform"": ""Disney+ Hotstar""}"
1652,action movies of arjun reddy wala,"{""actor"": ""Vijay Deverakonda"", ""genre"": ""Action""}"
1653,watch kantara,"{""title"": ""Kantara""}"
1654,brahmastra ka rating kya hai,"{""title"": ""Brahmastra"", ""query_type"": ""rating/review""}"
1655,family action movies 2024,"{""genre"": ""Action"", ""year"": 2024, ""audience"": ""family""}"
1656,shershaah full movie,"{""title"": ""Shershaah""}"
1657,taapsee romance movie,"{""actor"": ""Taapsee Pannu"", ""genre"": ""Romance""}"
1658,drishyam jesi film suggest karo,"{""similar_to"": ""Drishyam""}"
1659,an action hero online,"{""title"": ""An Action Hero""}"
1660,what are good thriller films on SonyLIV,"{""genre"": ""Thriller"", ""platform"": ""SonyLIV"", ""rating_type"": ""top rated""}"
1661,bengali biopic,"{""language"": ""Bengali"", ""genre"": ""Biopic""}"
1662,bhojpuri crime film,"{""language"": ""Bhojpuri"", ""genre"": ""Crime""}"
1663,what are good sci-fi films on Netflix,"{""genre"": ""Sci-Fi"", ""platform"": ""Netflix"", ""rating_type"": ""top rated""}"
1664,feeling tearjerker movie,"{""mood"": ""tearjerker""}"
1665,Amazon Prime mein kya hai,"{""platform"": ""Amazon Prime""}"
1666,bachchan sahab action 2018,"{""actor"": ""Amitabh Bachchan"", ""genre"": ""Action"", ""year"": 2018}"
1667,is bajrangi bhaijaan available on ZEE5,"{""title"": ""Bajrangi Bhaijaan"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
1668,is uri available on MX Player,"{""title"": ""Uri"", ""platform"": ""MX Player"", ""query_type"": ""availability""}"
1669,family movies of akki,"{""genre"": ""Family"", ""actor"": ""Akshay Kumar""}"
1670,movies starring badshah,"{""actor"": ""Shah Rukh Khan""}"
1671,kollywood supernatural web series,"{""language"": ""Tamil"", ""genre"": ""Supernatural"", ""content_type"": ""Web Series""}"
1672,taapsee ke saare movies,"{""actor"": ""Taapsee Pannu""}"
1673,kushi online,"{""title"": ""Kushi""}"
1674,how is kgf,"{""title"": ""KGF"", ""query_type"": ""rating/review""}"
1675,if you liked pushpa,"{""similar_to"": ""Pushpa""}"
1676,alia bhatt ka hi nanna,"{""actor"": ""Alia Bhatt"", ""title"": ""Hi Nanna""}"
1677,bhojpuri sci-fi,"{""language"": ""Bhojpuri"", ""genre"": ""Sci-Fi""}"
1678,top rated Hindi biopic,"{""language"": ""Hindi"", ""genre"": ""Biopic"", ""rating_type"": ""top rated""}"
1679,bengali family film,"{""language"": ""Bengali"", ""genre"": ""Family""}"
1680,liger good hai ya nahi,"{""title"": ""Liger"", ""rating_type"": ""top rated""}"
1681,similar to sultan,"{""similar_to"": ""Sultan""}"
1682,is varisu available on ZEE5,"{""title"": ""Varisu"", ""platform"": ""ZEE5"", ""query_type"": ""availability""}"
1683,koi action packed movie suggest karo,"{""mood"": ""action packed""}"
1684,what are good family films on Disney+ Hotstar,"{""genre"": ""Family"", ""platform"": ""Disney+ Hotstar"", ""rating_type"": ""top rated""}"
1685,best fahad movies,"{""rating_type"": ""top rated"", ""actor"": ""Fahadh Faasil""}"
1686,war good hai ya nahi,"{""title"": ""War"", ""rating_type"": ""top rated""}"
1687,777 charlie movie,"{""title"": ""777 Charlie""}"
1688,jawan OTT release,"{""title"": ""Jawan"", ""query_type"": ""availability""}"
1689,alia bhatt ki films,"{""actor"": ""Alia Bhatt""}"
1690,taapsee film dasara,"{""actor"": ""Taapsee Pannu"", ""title"": ""Dasara""}"
1691,nawaz ki films,"{""actor"": ""Nawazuddin Siddiqui""}"
1692,best of priyanka,"{""actor"": ""Priyanka Chopra"", ""rating_type"": ""top rated""}"
1693,happy films recommend karo,"{""mood"": ""happy""}"
1694,movies like drishyam 2,"{""similar_to"": ""Drishyam 2""}"
1695,if you liked freddy,"{""similar_to"": ""Freddy""}"
1696,gadar 2 ke jaise aur koi hai kya,"{""similar_to"": ""Gadar 2""}"
1697,fahadh new film,"{""actor"": ""Fahadh Faasil"", ""recency"": ""latest""}"
1698,sandalwood supernatural 2020,"{""language"": ""Kannada"", ""genre"": ""Supernatural"", ""year"": 2020}"
1699,dilwale dulhania le jayenge film,"{""title"": ""Dilwale Dulhania Le Jayenge""}"
1700,new bengali psychological thriller,"{""language"": ""Bengali"", ""genre"": ""Psychological thriller"", ""recency"": ""latest""}"
1701,movies like kartik calling kartik,"{""similar_to"": ""Kartik Calling Kartik""}"
1702,best of imtiaz ali,"{""director"": ""Imtiaz Ali"", ""rating_type"": ""top rated""}"
1703,dobaaraa with nawazuddin,"{""actor"": ""Nawazuddin Siddiqui"", ""title"": ""Dobaaraa""}"
1704,top marathi comedy movies,"{""language"": ""Marathi"", ""genre"": ""Comedy"", ""rating_type"": ""top rated""}"
1705,vicky ka darlings,"{""actor"": ""Prabhas"", ""title"": ""Darlings""}"
1706,best crime movies of 2019,"{""genre"": ""Crime"", ""year"": 2019, ""rating_type"": ""top rated""}"
1707,best irfan khan movies,"{""actor"": ""Irrfan Khan"", ""rating_type"": ""top rated""}"
1708,Amazon Prime gujarati,"{""platform"": ""Amazon Prime"", ""language"": ""Gujarati""}"
1709,gujarati sci-fi web series,"{""language"": ""Gujarati"", ""genre"": ""Sci-Fi"", ""content_type"": ""Web Series""}"
1710,2021 mein kaunsi achi movies aayi,"{""year"": 2021, ""rating_type"": ""top rated""}"
1711,what are good comedy films on ZEE5,"{""genre"": ""Comedy"", ""platform"": ""ZEE5"", ""rating_type"": ""top rated""}"
1712,pathaan OTT release,"{""title"": ""Pathaan"", ""query_type"": ""availability""}"
1713,kangana new movie an action hero,"{""actor"": ""Kangana Ranaut"", ""title"": ""An Action Hero"", ""recency"": ""latest""}"
1714,ranbir ke saare movies,"{""actor"": ""Ranbir Kapoor""}"
1715,what are good historical films on Jio Cinema,"{""genre"": ""Historical"", ""platform"": ""Jio Cinema"", ""rating_type"": ""top rated""}"
1716,vicky all movies list,"{""actor"": ""Vicky Kaushal""}"
1717,bhansali 2019 movie,"{""director"": ""Sanjay Leela Bhansali"", ""year"": 2019}"
1718,bengali horror,"{""language"": ""Bengali"", ""genre"": ""Horror""}"
1719,aamir superhit movies,"{""actor"": ""Aamir Khan"", ""rating_type"": ""hit""}"
1720,thappad with prabhas,"{""actor"": ""Prabhas"", ""title"": ""Thappad""}"
1721,mujhe inspirational movie chahiye,"{""mood"": ""inspirational""}"
1722,ulaganayagan ki films,"{""actor"": ""Kamal Haasan""}"
1723,bhojpuri funny movie,"{""mood"": ""funny"", ""language"": ""Bhojpuri""}"
1724,kamal movies,"{""actor"": ""Kamal Haasan""}"
1725,bangla sci-fi,"{""language"": ""Bengali"", ""genre"": ""Sci-Fi""}"
1726,is liger available on Amazon Prime,"{""title"": ""Liger"", ""platform"": ""Amazon Prime"", ""query_type"": ""availability""}"
1727,akshay ki best movie,"{""actor"": ""Akshay Kumar"", ""rating_type"": ""top rated""}"
